stop,count
MSTO2,32468
BVLH2,32765
BVLH3,64016
SVP2,56494
VFM3,89318
ACN1,58832
CONS2,60120
FG2,99733
MPL11,103344
MPL3,132010
5775,529045
5768,309131
5777,258359
NAT1,70931
CVI1,77034
HPRL1,75067
CI21,69767
PPR1,69098
LARZ,60573
STLZ1,60816
CVI6,61530
CSBV1,66807
MRS2,111678
BVCM3,203017
JM2,108531
DPV4,31891
SMAI2,27176
MCE2,65544
MON2,67069
ALFG2,68457
MRG2,76672
RBRI2,111275
RBR1,32136
CVI3,15527
CTS,18571
MLAM,14760
MPL2,48538
PSOC1,41327
COMB1,38557
PLIM1,33280
SVT3,33522
LW1,32284
CF1,28268
BRRS1,24762
STJ2,14636
CMS1,43089
BCM1,148245
AGM1,124424
APT1,74653
FG3,14198
CVLO2,26274
BJ1,30588
ACST2,11840
AVC1,10651
PREL4,15583
URBP1,14509
URBP3,17619
PREL1,36794
RM3,35376
JPAZ1,8906
VIS3,24143
VIS4,21354
VIS1,175626
IMTT2,149997
MPAZ7,144645
EZC2,147193
PRO2,148236
LDD2,109378
BFTM3,42421
PDVD5,31702
IGAL2,35267
PSOC2,63969
MPL4,80233
DCAS2,8784
RALG,67480
CAZ,38006
SCR4,30719
MAV1,105424
IANT3,45923
AANT1,41364
EDRG1,41012
CRJ1,116039
FSTO1,106199
FALC,53441
CRT2,54070
PREG,27313
CPTO,16040
5721,538771
5729,494504
5725,111687
SETB,22753
NSHP,14988
RAEP3,18999
PREC2,18114
AZC3,20831
HMGL5,15560
LDSM2,19280
MF1,12135
VLN1,12208
ALCF1,11866
AUL1,14219
SAL1,46214
OUTE3,52952
MLAR1,41648
5770,573639
PRSM1,51823
HSM1,47489
5726,1331816
5699,793137
5697,802199
C24A1,173422
BL4,168217
PRF1,77457
A25A1,75245
FVLH1,76658
EDRG3,74283
ANT1,40203
RC1,25787
VFM1,30998
VFM7,59201
CSP1,57790
ESCL,51265
SR1,13223
BRB3,6350
PNG1,13186
CPTO2,10020
BCM4,24478
BVBR1,17399
PPR2,41826
CI22,43599
CSBV,39544
SDP1,93018
RBSS1,28591
FRB,18191
CRM2,22862
BRCP1,38089
CSR1,44365
AUS,20809
CPL1,25944
LGCL1,24455
ACRD1,49082
BSS1,43657
FOCO1,56916
CART,103652
JB1,133405
LRD1,134051
PLM1,72511
FLUN1,62429
PG1,61652
PT3,92055
TRR3,53864
PCL1,47701
UC1,35963
MFZ1,43135
LIEG1,60761
ESR1,99030
UFP1,11743
BRCC1,23008
5766,477510
5778,321944
ACO1,10479
BS2,31373
PRG2,16266
PAL4,33114
HSA,33494
MLAM1,8892
CPR1,12473
HSM,21454
PRSM2,16166
GCRT2,17573
TRD5,64724
AAL1,147729
SBNT2,18187
LPDZ,48792
5712,535644
5703,300935
5708,284283
5707,222869
5717,64016
5718,32439
CVI2,52546
QTAM2,54402
ELVG1,19638
BCM2,239688
GRC1,116674
OLM,23997
MRR2,27877
MTCV,41780
GND2,12069
ALM2,8514
1BS8,28692
BS1,100179
BVCT1,54309
CZV3,16841
RA1,19306
ILH2,57776
LIMA1,6835
PINM1,56672
GC11,26162
FG1,126202
AQL1,42859
MAV2,85961
SCR1,61327
CTP,39974
PISC,42822
BSB,41693
BCG,44452
MRR1,21668
SRV3,30647
PNV2,33963
FTM4,28346
FTM5,22600
ABVT1,80168
1SBNT2,140737
MS2,149996
RBRI1,141995
MRG1,110976
ALFG1,108965
MFB2,113613
BTLH5,22970
HER2,232275
PRDR1,128145
PRDR2,103251
HER1,101532
CSS2,95675
CMP4,91346
NDA1,101995
EDP1,101206
FRX3,60071
RSH,63772
SCRP5,89741
CORD7,29950
SLZ3,32973
ANTG1,69253
BFTM1,19406
ARNH1,6179
JAE1,6230
VRD1,5753
FRNS1,5941
CMS4,478
IANT4,61126
DC2,26355
SVT1,23277
VDAM1,27133
LGO2,22552
PRCD3,2031
NEV2,1300
MAL2,5314
CZV1,78226
FOCO3,80390
BSS6,28248
CRTO3,60457
MLH5,62618
NEVG1,26258
SRV1,23823
JBR1,27259
ABSS1,61198
SJBC1,58498
PSG,11603
CNTM,65898
CRT1,43610
BMAF1,38047
SRC1,41875
CNTM2,89580
STCT,48696
TPR,49665
ASZE1,32646
LGO4,70575
RCRT2,36983
LNEV2,29310
JBR2,30875
